state,pct_SGTF,pct_SGTF_B117,collection_date,date_code
CA,6.706,50,2/15/2021,0
AZ,5.762,50,2/13/2021,0
TX,7.255,100,2/13/2021,0
GA,8.089,91.67,2/14/2021,0
NC,2.383,100,2/13/2021,0
LA,18.06,100,2/12/2021,0
MI,12.16,100,2/13/2021,0
IN,4.216,50,2/13/2021,0
PA,3.257,87.5,2/13/2021,0
MA,4.55,33.33,2/13/2021,0
FL,16.04,89.81,2/14/2021,0
CA,17.21,100,3/4/2021,1
AZ,17.82,100,3/3/2021,1
TX,26.23,84.7,3/3/2021,1
GA,25.64,81.25,3/3/2021,1
NC,14.14,100,3/3/2021,1
LA,23.33,100,3/3/2021,1
MI,25.86,100,3/3/2021,1
IN,6.35,100,3/3/2021,1
PA,15.98,100,3/3/2021,1
MA,17.29,80,3/3/2021,1
FL,34.84,93,3/3/2021,1
CA,29.65,100,3/17/2021,2
AZ,31,100,3/16/2021,2
TX,47.46,100,3/16/2021,2
GA,56,91,3/16/2021,2
NC,42.6,99,3/17/2021,2
LA,57.71,100,3/16/2021,2
MI,54.54,100,3/16/2021,2
IN,23.7,100,3/16/2021,2
PA,29.98,100,3/16/2021,2
MA,32.74,92,3/16/2021,2
FL,51.92,99,3/16/2021,2
CA,54.14,100,4/14/2021,3
AZ,63.45,100,4/13/2021,3
TX,70.26,100,4/13/2021,3
GA,75.06,100,4/13/2021,3
NC,59.94,100,4/13/2021,3
LA,64.06,100,4/13/2021,3
MI,81,100,4/13/2021,3
IN,71.71,100,4/13/2021,3
PA,56.54,100,4/13/2021,3
MA,62.98,100,4/13/2021,3
FL,68.54,100,4/13/2021,3
