,date,state,fips,cases,deaths
0,2021-03-23,Wyoming,56,55799,695
1,2021-03-23,Wisconsin,55,630040,7241
2,2021-03-23,West Virginia,54,138429,2613
3,2021-03-23,Washington,53,359290,5249
4,2021-03-23,Virginia,51,607234,10137
5,2021-03-23,Virgin Islands,78,2767,25
6,2021-03-23,Vermont,50,17933,220
7,2021-03-23,Utah,49,382171,2077
8,2021-03-23,Texas,48,2762748,47701
9,2021-03-23,Tennessee,47,790549,11643
10,2021-03-23,South Dakota,46,116100,1923
11,2021-03-23,South Carolina,45,542912,9030
12,2021-03-23,Rhode Island,44,134336,2606
13,2021-03-23,Puerto Rico,72,138503,2100
14,2021-03-23,Pennsylvania,42,997245,24876
15,2021-03-23,Oregon,41,162101,2380
16,2021-03-23,Oklahoma,40,435634,4788
17,2021-03-23,Ohio,39,1002822,18382
18,2021-03-23,Northern Mariana Islands,69,158,2
19,2021-03-23,North Dakota,38,101896,1494
20,2021-03-23,North Carolina,37,904616,11878
21,2021-03-23,New York,36,1794735,48977
22,2021-03-23,New Mexico,35,190064,3905
23,2021-03-23,New Jersey,34,873840,24242
24,2021-03-23,New Hampshire,33,81132,1218
25,2021-03-23,Nevada,32,301519,5188
26,2021-03-23,Nebraska,31,207401,2244
27,2021-03-23,Montana,30,103579,1419
28,2021-03-23,Missouri,29,579616,8881
29,2021-03-23,Mississippi,28,303238,6977
30,2021-03-23,Minnesota,27,507299,6857
31,2021-03-23,Michigan,26,701346,16923
32,2021-03-23,Massachusetts,25,617695,16915
33,2021-03-23,Maryland,24,401612,8195
34,2021-03-23,Maine,23,48773,731
35,2021-03-23,Louisiana,22,441771,10037
36,2021-03-23,Kentucky,21,425592,5864
37,2021-03-23,Kansas,20,302665,4850
38,2021-03-23,Iowa,19,346985,5683
39,2021-03-23,Indiana,18,682360,12959
40,2021-03-23,Illinois,17,1228418,23391
41,2021-03-23,Idaho,16,178254,1954
42,2021-03-23,Hawaii,15,28950,451
43,2021-03-23,Guam,66,8755,135
44,2021-03-23,Georgia,13,1023176,18021
45,2021-03-23,Florida,12,2016505,32819
46,2021-03-23,District of Columbia,11,43488,1051
47,2021-03-23,Delaware,10,92609,1535
48,2021-03-23,Connecticut,9,300565,7845
49,2021-03-23,Colorado,8,453976,6150
50,2021-03-23,California,6,3648021,57909
51,2021-03-23,Arkansas,5,328946,5547
52,2021-03-23,Arizona,4,837244,16798
53,2021-03-23,Alaska,2,61212,298
54,2021-03-23,Alabama,1,511789,10450
55,2021-03-22,Wyoming,56,55730,693
56,2021-03-22,Wisconsin,55,629994,7241
57,2021-03-22,West Virginia,54,138102,2612
58,2021-03-22,Washington,53,358727,5232
59,2021-03-22,Virginia,51,605969,10129
60,2021-03-22,Virgin Islands,78,2767,25
61,2021-03-22,Vermont,50,17839,219
62,2021-03-22,Utah,49,381788,2062
63,2021-03-22,Texas,48,2758353,47616
64,2021-03-22,Tennessee,47,787263,11610
65,2021-03-22,South Dakota,46,115972,1923
66,2021-03-22,South Carolina,45,542203,9027
67,2021-03-22,Rhode Island,44,134039,2604
68,2021-03-22,Puerto Rico,72,138358,2098
69,2021-03-22,Pennsylvania,42,993622,24839
70,2021-03-22,Oregon,41,161800,2377
71,2021-03-22,Oklahoma,40,435450,4788
72,2021-03-22,Ohio,39,1001195,18340
73,2021-03-22,Northern Mariana Islands,69,157,2
74,2021-03-22,North Dakota,38,101732,1492
75,2021-03-22,North Carolina,37,903311,11865
76,2021-03-22,New York,36,1787934,48959
77,2021-03-22,New Mexico,35,189893,3894
78,2021-03-22,New Jersey,34,869037,24181
79,2021-03-22,New Hampshire,33,80750,1217
80,2021-03-22,Nevada,32,301373,5174
81,2021-03-22,Nebraska,31,207124,2244
82,2021-03-22,Montana,30,103227,1415
83,2021-03-22,Missouri,29,579027,8824
84,2021-03-22,Mississippi,28,302932,6956
85,2021-03-22,Minnesota,27,506444,6850
86,2021-03-22,Michigan,26,696800,16904
87,2021-03-22,Massachusetts,25,615874,16894
88,2021-03-22,Maryland,24,400890,8184
89,2021-03-22,Maine,23,48642,729
90,2021-03-22,Louisiana,22,441066,10030
91,2021-03-22,Kentucky,21,424716,5847
92,2021-03-22,Kansas,20,302602,4850
93,2021-03-22,Iowa,19,346218,5676
94,2021-03-22,Indiana,18,681699,12947
95,2021-03-22,Illinois,17,1226595,23379
96,2021-03-22,Idaho,16,177929,1949
97,2021-03-22,Hawaii,15,28912,451
98,2021-03-22,Guam,66,8753,135
99,2021-03-22,Georgia,13,1021299,17990
100,2021-03-22,Florida,12,2011203,32778
101,2021-03-22,District of Columbia,11,43383,1050
102,2021-03-22,Delaware,10,92429,1531
103,2021-03-22,Connecticut,9,299667,7841
104,2021-03-22,Colorado,8,453045,6149
105,2021-03-22,California,6,3645558,57744
106,2021-03-22,Arkansas,5,328707,5544
107,2021-03-22,Arizona,4,836737,16745
108,2021-03-22,Alaska,2,61034,296
109,2021-03-22,Alabama,1,511779,10436
110,2021-03-21,Wyoming,56,55581,693
111,2021-03-21,Wisconsin,55,629606,7241
112,2021-03-21,West Virginia,54,137826,2606
113,2021-03-21,Washington,53,357420,5224
114,2021-03-21,Virginia,51,604908,10117
115,2021-03-21,Virgin Islands,78,2767,25
116,2021-03-21,Vermont,50,17740,219
117,2021-03-21,Utah,49,381629,2062
118,2021-03-21,Texas,48,2754928,47507
119,2021-03-21,Tennessee,47,784267,11606
120,2021-03-21,South Dakota,46,115867,1923
121,2021-03-21,South Carolina,45,541582,9007
122,2021-03-21,Rhode Island,44,133039,2595
123,2021-03-21,Puerto Rico,72,138131,2096
124,2021-03-21,Pennsylvania,42,991403,24853
125,2021-03-21,Oregon,41,161532,2374
126,2021-03-21,Oklahoma,40,434491,4788
127,2021-03-21,Ohio,39,999751,18340
128,2021-03-21,Northern Mariana Islands,69,157,2
129,2021-03-21,North Dakota,38,101682,1492
130,2021-03-21,North Carolina,37,900319,11849
131,2021-03-21,New York,36,1783026,48942
132,2021-03-21,New Mexico,35,189731,3891
133,2021-03-21,New Jersey,34,865886,24174
134,2021-03-21,New Hampshire,33,80543,1217
135,2021-03-21,Nevada,32,301197,5172
136,2021-03-21,Nebraska,31,206792,2243
137,2021-03-21,Montana,30,103111,1415
138,2021-03-21,Missouri,29,578637,8822
139,2021-03-21,Mississippi,28,302837,6956
140,2021-03-21,Minnesota,27,505292,6850
141,2021-03-21,Michigan,26,691086,16897
142,2021-03-21,Massachusetts,25,614668,16867
143,2021-03-21,Maryland,24,400208,8170
144,2021-03-21,Maine,23,48464,729
145,2021-03-21,Louisiana,22,439737,9988
146,2021-03-21,Kentucky,21,424272,5793
147,2021-03-21,Kansas,20,302223,4842
148,2021-03-21,Iowa,19,345785,5676
149,2021-03-21,Indiana,18,681188,12946
150,2021-03-21,Illinois,17,1225236,23357
151,2021-03-21,Idaho,16,177501,1944
152,2021-03-21,Hawaii,15,28834,451
153,2021-03-21,Guam,66,8749,135
154,2021-03-21,Georgia,13,1020384,17965
155,2021-03-21,Florida,12,2008341,32741
156,2021-03-21,District of Columbia,11,43229,1050
157,2021-03-21,Delaware,10,92287,1529
158,2021-03-21,Connecticut,9,296691,7832
159,2021-03-21,Colorado,8,452727,6148
160,2021-03-21,California,6,3642652,57560
161,2021-03-21,Arkansas,5,328655,5539
162,2021-03-21,Arizona,4,836253,16745
163,2021-03-21,Alaska,2,60683,296
164,2021-03-21,Alabama,1,511460,10436
165,2021-03-20,Wyoming,56,55581,693
166,2021-03-20,Wisconsin,55,629167,7241
167,2021-03-20,West Virginia,54,137478,2600
168,2021-03-20,Washington,53,357376,5224
169,2021-03-20,Virginia,51,603748,10106
170,2021-03-20,Virgin Islands,78,2767,25
171,2021-03-20,Vermont,50,17555,219
172,2021-03-20,Utah,49,381254,2060
173,2021-03-20,Texas,48,2752597,47462
174,2021-03-20,Tennessee,47,784220,11606
175,2021-03-20,South Dakota,46,115723,1922
176,2021-03-20,South Carolina,45,540390,8977
177,2021-03-20,Rhode Island,44,133039,2595
178,2021-03-20,Puerto Rico,72,137836,2096
179,2021-03-20,Pennsylvania,42,989336,24841
180,2021-03-20,Oregon,41,161342,2373
181,2021-03-20,Oklahoma,40,434491,4788
182,2021-03-20,Ohio,39,998819,18340
183,2021-03-20,Northern Mariana Islands,69,157,2
184,2021-03-20,North Dakota,38,101633,1492
185,2021-03-20,North Carolina,37,900319,11848
186,2021-03-20,New York,36,1779291,48916
187,2021-03-20,New Mexico,35,189560,3891
188,2021-03-20,New Jersey,34,862648,24134
189,2021-03-20,New Hampshire,33,80316,1217
190,2021-03-20,Nevada,32,300972,5171
191,2021-03-20,Nebraska,31,206685,2243
192,2021-03-20,Montana,30,103042,1415
193,2021-03-20,Missouri,29,578260,8816
194,2021-03-20,Mississippi,28,302677,6955
195,2021-03-20,Minnesota,27,504341,6845
196,2021-03-20,Michigan,26,690929,16897
197,2021-03-20,Massachusetts,25,612857,16832
198,2021-03-20,Maryland,24,399201,8158
199,2021-03-20,Maine,23,48292,728
200,2021-03-20,Louisiana,22,439737,9988
201,2021-03-20,Kentucky,21,423989,5777
202,2021-03-20,Kansas,20,302223,4842
203,2021-03-20,Iowa,19,345644,5675
204,2021-03-20,Indiana,18,680420,12926
205,2021-03-20,Illinois,17,1223884,23329
206,2021-03-20,Idaho,16,177501,1944
207,2021-03-20,Hawaii,15,28763,450
208,2021-03-20,Guam,66,8749,135
209,2021-03-20,Georgia,13,1018824,17965
210,2021-03-20,Florida,12,2004354,32712
211,2021-03-20,District of Columbia,11,43175,1049
212,2021-03-20,Delaware,10,91942,1526
213,2021-03-20,Connecticut,9,296691,7832
214,2021-03-20,Colorado,8,452174,6148
215,2021-03-20,California,6,3640704,57469
216,2021-03-20,Arkansas,5,328547,5533
217,2021-03-20,Arizona,4,835765,16733
218,2021-03-20,Alaska,2,60683,296
219,2021-03-20,Alabama,1,511087,10436
220,2021-03-19,Wyoming,56,55581,693
221,2021-03-19,Wisconsin,55,628634,7225
222,2021-03-19,West Virginia,54,137092,2600
223,2021-03-19,Washington,53,356637,5224
224,2021-03-19,Virginia,51,602182,10092
225,2021-03-19,Virgin Islands,78,2767,25
226,2021-03-19,Vermont,50,17393,217
227,2021-03-19,Utah,49,380787,2058
228,2021-03-19,Texas,48,2750088,47365
229,2021-03-19,Tennessee,47,784120,11606
230,2021-03-19,South Dakota,46,115518,1919
231,2021-03-19,South Carolina,45,538801,8966
232,2021-03-19,Rhode Island,44,133039,2595
233,2021-03-19,Puerto Rico,72,137510,2092
234,2021-03-19,Pennsylvania,42,985595,24817
235,2021-03-19,Oregon,41,161068,2369
236,2021-03-19,Oklahoma,40,434491,4788
237,2021-03-19,Ohio,39,997336,18340
